"EBS_AXIS", "Axis Bank"
"EBS_BC","Beam Cash"
"EBS_CB","Central Bank of India"
"EBS_CORP","Corporation Bank"
"EBS_DC","Done Card"
"EBS_FED","Federal Bank"
"EBS_HDFC","HDFC Bank"
"EBS_HYDERABAD","State Bank of Hyderabad"
"EBS_IB","Indian Bank"
"EBS_ICASH","ICash"
"EBS_ICICI","ICICI Bank"
"EBS_INDIA","State Bank of India"
"EBS_ITZ","ITZ Cash"
"EBS_JK","J & K Bank"
"EBS_KARNATAKA","Karnataka Bank"
"EBS_KOTAK","Kotak Mahindra Bank"
"EBS_MYSORE","State Bank of Mysore"
"EBS_TRAVANCORE","State Bank of Travancore"
"giropay","Giropay"
"PAYPAL","PayPal"
"paysafecard","paysafecard"
"PostFinance e-finance","PostFinance e-finance"